Time		Subtitle		Translation
00:00:00		 hi friends join us to learn 38 important English patterns these phrases are super   		嗨，朋友们，和我们一起学习 38 个重要的 英语 模式 这些 短语 
00:00:07		 useful for everyday talk let's get started this is   		对于日常对话非常有用，让我们 开始 吧 ， 这 是 
00:00:13		 so this is so this is   		这样，这是这样，这是这样，这太美味了，这太美味了， 
00:00:24		 delicious this is so delicious this is so   		这太美味了， 这 太 
00:00:32		 delicious this is so exciting this is so   		美味了，太 令 人 兴奋 了  这 太 令 人 
00:00:39		 exciting this is so exciting this is so   		兴奋了，太令人 兴奋 了 ， 这 太 令 人 困惑 了 ， 这 太 令 人 困惑 了 ， 这 太 令 人 困惑 了 ， 太令 人 
00:00:56		 confusing I really like I really   		困惑了，我真的很喜欢，我真的很喜欢，我真的很喜欢，我真的很 
00:01:02		 like I really like I really like your new   		喜欢 你 的 新 
00:01:08		 hairstyle I really like your new hairstyle I really like your new   		发型，我真的很喜欢你的新 发型 ， 我 真的 很 喜欢 你 的 新 发型 。 
00:01:17		 hairstyle I really like your new   		发型 我真的很喜欢你的新 
00:01:21		 hairstyle I really like this song I really like this   		发型 我真的很喜欢这 首 歌  我 真的 很 喜欢 这 
00:01:28		 song I really like this song I really like spending time with   		首歌 我真的很喜欢这 首 歌  我 真的 很 喜欢 和 你 共度 时光 
00:01:35		 you I really like spending time with you I really like spending time with   		我真的很喜欢和 你 共度 时光  我 真的 很 喜欢 和 
00:01:44		 you I happen to I happen   		你共度时光 我碰巧 我 
00:01:49		 to I happen to I happen to live   		碰巧 我 碰巧  我 碰巧 住 在 
00:01:55		 nearby I happen to live nearby I happen to live   		附近 我碰巧住在附近 我 碰巧 住 在 
00:02:05		 nearby I happen to live nearby I happen to have an extra   		附近 我碰巧住在 附近  我 
00:02:12		 ticket I happen to have an extra ticket I happen to have an extra   		碰巧有一张额外的 票  我 碰巧 有 一 张 额外 的 
00:02:20		 ticket I happen to have an extra ticket I happen to have some experience   		票 我碰巧有一张额外的票 我碰巧有一张额外的 票  我 碰巧 
00:02:26		 in that field I happen to have some experience   		在那个 领域 有 一些 经验  我 碰巧 在 那个 领域 有 一些 经验  我 碰巧 
00:02:35		 experience in that field I happen to have some   		在那个 领域 有 一些 经验  我 碰巧 
00:02:43		 experience in that field I happen to have some experience   		在那个 领域 有 一些 经验  我 碰巧 
00:02:48		 in that field I am looking   		在那个 领域 有 一些 经验  我 正在 寻找 
00:02:54		 for I am looking for I am looking for   		我 我正在 寻找  我 正在 寻找  我 正 在 
00:03:01		 for I am looking for I am looking for my   		寻找 我正在寻找 我 的 
00:03:06		 phone I am looking for my phone I am looking for my   		手机 我正在 寻找 我 的 手机  我 正 在 
00:03:17		 phone I am looking for my phone I am looking for a nice   		寻找我的手机 我正在 寻找 我 的 手机  我 正 在 寻找 一 家 不错 的 
00:03:24		 hotel I am looking for a nice hotel I am looking for a nice   		酒店 我正在寻找一家不错的酒店 我 正 在 寻找 一 个 不错 的 
00:03:33		 hotel I am looking for a nice hotel I am looking for a quiet   		酒店 我正在寻找一个不错的 酒店  我 正 在 寻找 一 个 安静 的 
00:03:40		 place I am looking for a quiet place I am looking for a quiet   		地方 我 正在 寻找 一 个 安静 的 地方  我 正 在 寻找 一 个 安静 的 
00:03:49		 place I can see that I can see   		地方 我可以看到 我 可以 看到  我 
00:03:56		 that I can see that I can see that you are   		可以看到 我 可以 看到  我 
00:04:01		 upset I can see that you are upset I can see that you are   		可以看到你很不安 我可以看到你很 
00:04:13		 upset I can see that you are upset I can see that he's   		不安 我可以看到你很 不安  我 可以 看到 你 很 不安  我 可以 看到 他 很 
00:04:20		 nervous I can see that he's nervous I can see that he's   		紧张 我可以看到他很 紧张  我 可以 看到 他 很 
00:04:27		 nervous I can see that it's going to rain I can see that it's going to   		紧张 我可以看到它会 下雨  我 可以 看到 要 
00:04:35		 rain I can see that it's going to rain I can see that it's going to   		下雨 我可以看到要 下雨  我 可以 看到 要 
00:04:44		 rain I need help with I need help   		下雨 我需要帮助 我 需要 帮助  我 
00:04:50		 with I need help with I need help   		需要帮助 我 需要 帮助 
00:04:57		 with I need help with moving furniture   		我需要帮助移动家具 
00:05:01		 I need help with moving furniture I need help with moving   		我需要帮助 需要搬动 家具  我 需要 搬动 
00:05:10		 furniture I need help with moving furniture I need help with fixing my   		家具的帮助 我需要搬动 家具 的 帮助  我 需要 
00:05:18		 computer I need help with fixing my computer I need help with fixing my   		修理计算机的帮助 我 需要 修理 计算机 的 帮助 
00:05:27		 computer I need help with fixing my   		我 需要 修理 计算机 的 帮助  我 需要 修理 计算机 的 帮助 
00:05:32		 computer I need help with planning my vacation I need help with planning my   		我需要计划假期的帮助 我 需要 帮助 来 计划 我 的 
00:05:39		 vacation I need help with planning my vacation I need help with planning my   		假期 我需要帮助来计划我的 假期  我 需要 帮助 来 计划 我 的 
00:05:50		 vacation I need help with planning my   		假期 我需要帮助来计划我的 
00:05:55		 vacation I don't feel like I don't feel like   		假期 我不觉得 我不 觉得 
00:06:00		 like I don't feel like I don't feel   		我不 觉得 我 不 
00:06:06		 like I don't feel like talking to anyone I don't feel like talking to   		我不想和 任何 人 说话  我 不 想 和 
00:06:14		 anyone I don't feel like talking to anyone I don't feel like talking to   		任何人说话 我不想和 任何 人 说话  我 不 想 和 任何 
00:06:23		 anyone I don't feel like working today I don't feel like working to   		人说话 我今天不想工作 我 不 想  今天 不 想 工作 
00:06:30		 today I don't feel like working today I don't feel like working   		我今天不想工作 我 
00:06:39		 today I don't feel like cleaning the house I don't feel like cleaning the   		今天不想工作 我不想打扫 房子  我 不 想 打扫 
