Time		Subtitle		Translation
00:00:00		 hello welcome to our lesson today we will learn 250 useful English phrases   		您好，欢迎来到我们今天的课程，我们 将 学习  250  个 有用 的 英语 短语 ， 
00:00:08		 that you might want to use but don't know yet ready let's begin your work is   		您可能想使用但 还 不 知道 ， 准备 好 让 我们 开始 吧 ， 您 的 工作 非常 
00:00:17		 outstanding your work is outstanding your work is   		出色，您的工作非常 出色 ， 您 的 工作 非常 
00:00:24		 outstanding well done keep it up well done keep it up   		出色，做得很好，继续努力，做得很好， 继续 努力 
00:00:31		 well done keep it up our flight got   		干得好，继续 努力 ， 我们 的 航班 
00:00:37		 delayed our flight got delayed our flight got   		延误了，我们的航班 延误 了 ， 我们 的 航班 
00:00:45		 delayed that's unfortunate that's   		延误了，很 不幸 ， 很 
00:00:51		 unfortunate that's unfortunate tell me what   		不幸，很不幸，告诉我发生了 什么 事 ， 告诉 我 发生 了 什么 事 ， 告诉 我 发生 了 
00:00:57		 happened tell me what happened tell me what   		什么 
00:01:03		 happened tell me what happened I want to hear the whole   		事，告诉我发生了什么事， 我 想 听听 整个 
00:01:09		 story I want to hear the whole story I want to hear the whole   		故事，我想听 整个 故事  我 想 听听 整个 
00:01:16		 story I want to hear the whole story I want to hear the whole   		故事 我想听听整个 故事  我 想 听听 整个 
00:01:24		 story oh I just remembered oh I   		故事 哦我刚想 
00:01:30		 just remembered oh I just   		起来  哦 我 刚 想 起来  哦 我 
00:01:36		 remembered I have a dentist appointment today I have a dentist appointment   		刚想起来 我今天有一个牙医预约 我 
00:01:44		 today I have a dentist appointment today I have a dentist appointment   		今天有一个牙医预约 我有 今天 预约牙医  我 今天 预约牙医 
00:01:53		 today the door is locked the door is locked   		门锁 着  门锁 着 
00:02:00		 the door is locked the door is   		门锁 着 
00:02:05		 locked can you open it can you open   		门锁着 你 能 打开 吗  你 能 打开 吗  你 
00:02:10		 it can you open it can you open   		能 打开 吗  你 能 打开 
00:02:18		 it don't worry about me don't worry about   		吗 别担心 我  别 担心 我  别 担心 
00:02:24		 me don't worry about me I will be fine   		我 别担心 我  我 会 没 事 的 
00:02:30		 I will be fine I will be   		我会 没 事 的  我 会 
00:02:36		 fine are you busy are you   		没事的 你 忙 吗  你 忙 吗  你 
00:02:42		 busy are you busy not at the   		忙 吗  你 忙 吗  不 是 
00:02:47		 moment not at the moment not at the   		现在  不 是 
00:02:53		 moment not at the moment nobody has seen him   		现在 不是 现在  没有 人 看到  他 
00:03:01		 nobody has seen   		没有人 见过 
00:03:06		 him nobody has seen him nobody has seen   		他 没有人见过 他  没有 人 见 过 他  他 
00:03:11		 him where did he go where did he   		去 了 哪里  他 
00:03:17		 go where did he go where did he   		去了哪里 他 
00:03:23		 go I have an announcement I have an announcement   		去了哪里 他去了哪里 我有 一 个 公告  我 有 一 个 公告 
00:03:30		 I have an announcement I have an   		我有一个 公告  我 有 一 个 
00:03:36		 announcement I am getting married I am getting   		公告 我要 结婚 了  我 有 一 个 公告  我 要 
00:03:42		 married I am getting married I am getting   		结婚 我要 结婚  我 要 
00:03:50		 married when do you need it done when do you need it   		结婚 你需要什么时候 完成  你 需要 什么 时候 
00:03:57		 done when do you need it done when do you need it   		完成 你需要什么时候 完成  你 需要 什么 时候 完成  你 需要 什么 时间 
00:04:06		 done by tomorrow by   		明天 之前 
00:04:11		 tomorrow by tomorrow I will pick you up at   		明天 明天 之前  我 
00:04:18		 8 I will pick you up at 8 I will pick you up at   		会在 8 点接你 我会 8点接你 我 会 在 
00:04:25		 8 I will pick you up at 8 sounds sounds   		8点接你 我会在 8 点 接 你  听 起来 
00:04:31		 good sounds good sounds   		不错 听起来 不错  听 起来 
00:04:37		 good close your eyes and make a wish close your eyes and make a   		不错 闭上你的眼睛，许个愿 闭上 你 的 眼睛 ， 
00:04:47		 wish close your eyes and make a wish it's your   		许个愿 闭上你的眼睛， 许 个 愿  这 是 你 的 
00:04:53		 birthday it's your birthday it's your birthday   		生日 这是你的 生日  这 是 你 的 生日 
00:05:01		 I'd love a cup of coffee I'd love a cup of   		我想要一杯 咖啡  我 想 要 一 杯 
00:05:07		 coffee I'd love a cup of coffee I'd love a cup of   		咖啡 我想要一杯 咖啡  我 想 要 一 杯 
00:05:14		 coffee cheer up it's on me cheer up it's on   		咖啡 振作起来 这是 我 的 事  振作 起来  这 是 
00:05:20		 me cheer up it's on me cheer up it's on   		我的事 振作起来 这是 我 的 事 ， 振作 起来 ， 这 是 
00:05:27		 me say hello to your mom for me say hello to your mom for   		我的事，代我向你妈妈问好，代我向你 
00:05:34		 me say hello to your mom for me say hello to your mom for   		妈妈问好，代我向你妈妈 问 好 ， 代 我 向 你 妈妈 问 好 ， 我 
00:05:41		 me I hope she's doing well I hope she's doing   		希望她 过 得 好 ， 我 希望 她 
00:05:47		 well I hope she's doing well I hope she's doing   		过得好，我希望她过得好 好 吧 ， 我 希望 她 过 得 
00:05:55		 well her story is so inspiring her story is so   		很好，她的故事如此鼓舞人心， 她 的 故事 如此 
00:06:03		 inspiring her story is so inspiring her story is so   		鼓舞人心，她的故事如此 鼓舞人心 ， 她 的 故事 如此 
